,recipe_name,recipe_link,category
47,Penne in salsa di cipolle (Penne with onion sauce),https://www.jamieoliver.com/recipes/pasta-recipes/penne-in-salsa-di-cipolle-penne-with-onion-sauce/,pasta
48,"Spaghetti aglio, olio & spring greens",https://www.jamieoliver.com/recipes/pasta-recipes/spaghetti-aglio-olio-spring-greens/,pasta
49,Tortellini in brodo,https://www.jamieoliver.com/recipes/pasta-recipes/tortellini-in-brodo/,pasta
50,Pasta with aubergine & tomato sauce,https://www.jamieoliver.com/recipes/pasta-recipes/pasta-with-aubergine-tomato-sauce/,pasta
51,Goldie Hawn's fettuccine Alfredo,https://www.jamieoliver.com/recipes/pasta-recipes/goldie-hawn-s-fettuccine-alfredo/,pasta
52,Salsa spaghetti,https://www.jamieoliver.com/recipes/pasta-recipes/salsa-spaghetti/,pasta
53,Prawn & courgette spaghetti,https://www.jamieoliver.com/recipes/pasta-recipes/prawn-courgette-spaghetti/,pasta
54,Veggie carbonara,https://www.jamieoliver.com/recipes/pasta-recipes/veggie-carbonara/,pasta
55,Pea &amp; Popeye pesto pasta,https://www.jamieoliver.com/recipes/pasta-recipes/pea-popeye-pesto-pasta/,pasta
56,Winter pasta salad,https://www.jamieoliver.com/recipes/pasta-recipes/winter-pasta-salad/,pasta
57,Incredible leftover lasagne,https://www.jamieoliver.com/recipes/pasta-recipes/incredible-leftover-lasagne/,pasta
58,Skinny carbonara,https://www.jamieoliver.com/recipes/pasta-recipes/skinny-carbonara/,pasta
59,Gennaro's pasta frittata – lots of ways,https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-pasta-frittata-lots-of-ways/,pasta
60,Gennaro's simple tuna bucatini,https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-simple-tuna-bucatini/,pasta
61,Gennaro's butternut squash &amp; pancetta penne,https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-butternut-squash-pancetta-penne/,pasta
